Geneid	GeneSymbol	Chromosome	Start	End	Class	Strand	Length
ENSMUSG00000103709.1	 Nras-ps2	chr1	7189742	7189919	 processed_pseudogene	-	177
ENSMUSG00000077244.1	 Gm23274	chr1	7265803	7265932	 snoRNA	+	129
ENSMUSG00000102768.1	 Gm19002	chr1	7315451	7316462	 processed_pseudogene	+	1011
ENSMUSG00000097797.6	 Gm26901	chr1	7349406	7397869	 lncRNA	-	48463
ENSMUSG00000103498.1	 Gm18984	chr1	7410679	7411993	 processed_pseudogene	+	1314
ENSMUSG00000103067.1	 Gm30414	chr1	7497968	7518149	 lncRNA	+	20181
ENSMUSG00000102320.1	 Gm37791	chr1	7591646	7591931	 processed_pseudogene	+	285
ENSMUSG00000104226.1	 Gm7470	chr1	7597379	7599473	 processed_pseudogene	+	2094
ENSMUSG00000103903.1	 Rps2-ps2	chr1	7664081	7664961	 processed_pseudogene	+	880
ENSMUSG00000103557.1	 Gm38216	chr1	7728861	7730565	 processed_pseudogene	-	1704
ENSMUSG00000025909.16	 Sntg1	chr1	8361475	9299878	 protein_coding	-	938403
ENSMUSG00000102647.1	 Gm38024	chr1	8450960	8453491	 TEC	-	2531
ENSMUSG00000086235.1	 Gm16284	chr1	8468426	8468825	 processed_pseudogene	-	399
ENSMUSG00000102253.1	 Gm38259	chr1	8527780	8531313	 TEC	-	3533
ENSMUSG00000093970.1	 Gm23358	chr1	8588615	8588724	 miRNA	-	109
ENSMUSG00000103884.1	 Gm37005	chr1	8643696	8644859	 TEC	-	1163
ENSMUSG00000084353.1	 Gm15452	chr1	8791923	8792162	 processed_pseudogene	-	239
ENSMUSG00000103933.1	 Gm36964	chr1	8815842	8816039	 processed_pseudogene	+	197
ENSMUSG00000076135.1	 Gm24276	chr1	8816138	8816247	 miRNA	+	109
ENSMUSG00000086195.1	 Gm6152	chr1	8855928	8856267	 processed_pseudogene	-	339
ENSMUSG00000104504.1	 Gm7445	chr1	8856763	8857102	 processed_pseudogene	+	339
ENSMUSG00000066693.2	 Gm7493	chr1	8962996	8963621	 processed_pseudogene	-	625
ENSMUSG00000102316.1	 Gm37629	chr1	9191067	9192116	 TEC	-	1049
ENSMUSG00000103819.1	 Gm38008	chr1	9258617	9259134	 processed_pseudogene	-	517
ENSMUSG00000102871.1	 Gm37143	chr1	9286922	9290180	 TEC	+	3258
ENSMUSG00000101571.2	 Gm6187	chr1	9396773	9398687	 processed_pseudogene	-	1914
ENSMUSG00000104428.1	 Gm18299	chr1	9439741	9440376	 processed_pseudogene	-	635
ENSMUSG00000102272.1	 Gm7512	chr1	9450579	9451748	 processed_pseudogene	+	1169
ENSMUSG00000065625.1	 Gm24765	chr1	9458670	9458772	 snRNA	+	102
ENSMUSG00000103411.1	 Gm18300	chr1	9499338	9501522	 processed_pseudogene	-	2184
ENSMUSG00000061024.8	 Rrs1	chr1	9545408	9547455	 protein_coding	+	2047
ENSMUSG00000025911.14	 Adhfe1	chr1	9547948	9580673	 protein_coding	+	32725
ENSMUSG00000079671.8	 2610203C22Rik	chr1	9560832	9631175	 lncRNA	-	70343
ENSMUSG00000081441.3	 Gm6161	chr1	9574548	9575649	 processed_pseudogene	+	1101
ENSMUSG00000067879.3	 Vxn	chr1	9601199	9627143	 protein_coding	+	25944
ENSMUSG00000099827.1	 Gm29520	chr1	9639255	9640582	 lncRNA	-	1327
ENSMUSG00000025912.16	 Mybl1	chr1	9667415	9700209	 protein_coding	-	32794
ENSMUSG00000045210.8	 Vcpip1	chr1	9718622	9748382	 protein_coding	-	29760
ENSMUSG00000097893.8	 1700034P13Rik	chr1	9747648	9791924	 lncRNA	+	44276
ENSMUSG00000025915.14	 Sgk3	chr1	9798107	9900845	 protein_coding	+	102738
ENSMUSG00000046334.4	 Gm6195	chr1	9802197	9802553	 processed_pseudogene	-	356
ENSMUSG00000088916.1	 Gm22607	chr1	9834498	9834602	 snRNA	-	104
ENSMUSG00000046101.16	 Mcmdc2	chr1	9908638	9942085	 protein_coding	+	33447
ENSMUSG00000098234.7	 Snhg6	chr1	9941959	9944118	 lncRNA	-	2159
ENSMUSG00000093178.1	 Snord87	chr1	9942463	9942549	 snoRNA	-	86
ENSMUSG00000099032.2	 Tcf24	chr1	9960163	9967932	 protein_coding	-	7769
ENSMUSG00000104025.1	 E330040D14Rik	chr1	9967314	9968687	 TEC	+	1373
ENSMUSG00000025916.10	 Ppp1r42	chr1	9968624	10009136	 protein_coding	-	40512
ENSMUSG00000087199.1	 Gm15818	chr1	9982387	9992366	 lncRNA	+	9979
ENSMUSG00000095780.1	 Gm24674	chr1	10009814	10009917	 snRNA	-	103
ENSMUSG00000025917.9	 Cops5	chr1	10024601	10038168	 protein_coding	-	13567
ENSMUSG00000056763.16	 Cspp1	chr1	10037987	10136768	 protein_coding	+	98781
ENSMUSG00000102356.1	 1700047N06Rik	chr1	10057025	10057944	 TEC	-	919
ENSMUSG00000067851.11	 Arfgef1	chr1	10137571	10232670	 protein_coding	-	95099
ENSMUSG00000088153.1	 Gm26348	chr1	10166539	10166778	 misc_RNA	+	239
ENSMUSG00000102556.1	 Gm37569	chr1	10197081	10198802	 TEC	-	1721
ENSMUSG00000042501.12	 Cpa6	chr1	10324720	10719945	 protein_coding	-	395225
ENSMUSG00000103810.1	 Gm38005	chr1	10449245	10451989	 TEC	-	2744
ENSMUSG00000083422.1	 Gm15604	chr1	10554098	10555553	 processed_pseudogene	-	1455
ENSMUSG00000094979.1	 Gm25253	chr1	10555554	10555660	 snRNA	-	106
ENSMUSG00000081417.1	 Gm15603	chr1	10695123	10695614	 processed_pseudogene	+	491
ENSMUSG00000103448.1	 Gm37133	chr1	10782456	10784377	 TEC	-	1921
ENSMUSG00000100212.1	 Gm5522	chr1	10805281	10806522	 processed_pseudogene	+	1241
ENSMUSG00000100648.1	 Gm28659	chr1	10868688	10869446	 processed_pseudogene	+	758
ENSMUSG00000088585.1	 Gm22963	chr1	10921670	10921760	 snoRNA	+	90
ENSMUSG00000048960.13	 Prex2	chr1	10993465	11303681	 protein_coding	+	310216
ENSMUSG00000077318.1	 Gm24173	chr1	11134111	11134238	 snoRNA	-	127
ENSMUSG00000101827.1	 Gm28686	chr1	11223566	11224174	 processed_pseudogene	-	608
ENSMUSG00000103494.1	 Gm37410	chr1	11363926	11366964	 TEC	-	3038
ENSMUSG00000057715.13	 A830018L16Rik	chr1	11414105	11975901	 protein_coding	+	561796
ENSMUSG00000103825.1	 Gm38178	chr1	11416918	11419388	 TEC	+	2470
ENSMUSG00000099845.1	 Gm29273	chr1	11608139	11608400	 processed_pseudogene	-	261
ENSMUSG00000103561.1	 Gm38069	chr1	11704207	11706350	 TEC	+	2143
ENSMUSG00000101610.1	 Gm7560	chr1	12120960	12121832	 processed_pseudogene	+	872
ENSMUSG00000093864.1	 Gm22633	chr1	12374936	12375042	 snRNA	+	106
ENSMUSG00000098555.1	 Mir6341	chr1	12425986	12426106	 miRNA	+	120
ENSMUSG00000097628.1	 Gm2383	chr1	12565577	12566383	 processed_pseudogene	+	806
ENSMUSG00000098163.1	 Gm6216	chr1	12655867	12656553	 processed_pseudogene	+	686
ENSMUSG00000097171.1	 Gm17644	chr1	12667563	12673090	 lncRNA	+	5527
ENSMUSG00000101314.1	 Gm29663	chr1	12670324	12671176	 lncRNA	-	852
ENSMUSG00000016918.15	 Sulf1	chr1	12692277	12861192	 protein_coding	+	168915
ENSMUSG00000025938.16	 Slco5a1	chr1	12866549	12992650	 protein_coding	-	126101
ENSMUSG00000104518.1	 Gm37162	chr1	13059401	13059951	 TEC	-	550
ENSMUSG00000069620.6	 Gm5250	chr1	13062025	13062345	 processed_pseudogene	+	320
ENSMUSG00000099498.1	 Gm29283	chr1	13068838	13078662	 lncRNA	+	9824
ENSMUSG00000042414.7	 Prdm14	chr1	13113457	13127163	 protein_coding	-	13706
ENSMUSG00000005886.14	 Ncoa2	chr1	13139105	13374083	 protein_coding	-	234978
ENSMUSG00000103506.1	 Gm38376	chr1	13177462	13179714	 TEC	-	2252
ENSMUSG00000103495.1	 Gm37409	chr1	13234809	13236434	 TEC	-	1625
ENSMUSG00000099183.1	 Gm27881	chr1	13262198	13262279	 miRNA	+	81
ENSMUSG00000102639.1	 Gm38223	chr1	13289812	13290506	 TEC	-	694
ENSMUSG00000104170.1	 Gm37702	chr1	13297036	13298907	 TEC	-	1871
ENSMUSG00000087782.1	 Gm23169	chr1	13334498	13334609	 snRNA	-	111
ENSMUSG00000103085.1	 Gm38120	chr1	13343563	13348204	 TEC	-	4641
ENSMUSG00000102664.1	 Gm38380	chr1	13354483	13356730	 TEC	-	2247
ENSMUSG00000101476.1	 Gm29570	chr1	13376070	13388413	 lncRNA	+	12343
ENSMUSG00000101171.1	 Gm7593	chr1	13407012	13407655	 processed_pseudogene	-	643
ENSMUSG00000025935.10	 Tram1	chr1	13564698	13589910	 protein_coding	-	25212
ENSMUSG00000025937.6	 Lactb2	chr1	13623330	13660546	 protein_coding	-	37216
ENSMUSG00000102982.1	 Gm38319	chr1	13641483	13642748	 TEC	-	1265
ENSMUSG00000067813.3	 Xkr9	chr1	13668771	13701723	 protein_coding	+	32952
ENSMUSG00000077368.1	 Gm26273	chr1	13774334	13774464	 snoRNA	-	130
ENSMUSG00000097711.1	 Gm5523	chr1	13785883	13786879	 processed_pseudogene	-	996
ENSMUSG00000102166.1	 Gm36947	chr1	13846871	13849119	 TEC	-	2248
ENSMUSG00000089358.1	 Gm25491	chr1	13932378	13932685	 misc_RNA	+	307
ENSMUSG00000104209.1	 Gm37400	chr1	14109215	14112819	 TEC	-	3604
ENSMUSG00000025932.14	 Eya1	chr1	14168954	14310235	 protein_coding	-	141281
ENSMUSG00000095853.1	 Gm22616	chr1	14182578	14182677	 miRNA	+	99
ENSMUSG00000102588.1	 Gm37444	chr1	14255552	14255990	 TEC	-	438
ENSMUSG00000054493.2	 Gm9947	chr1	14752937	14776931	 lncRNA	+	23994
ENSMUSG00000025930.6	 Msc	chr1	14753346	14755992	 protein_coding	-	2646
ENSMUSG00000103492.1	 Gm37412	chr1	14788645	14792965	 TEC	+	4320
ENSMUSG00000081201.1	 Smt3h2-ps4	chr1	14839869	14840156	 processed_pseudogene	-	287
ENSMUSG00000082193.1	 Rpl5-ps1	chr1	14865072	14865965	 processed_pseudogene	+	893
ENSMUSG00000032769.5	 Trpa1	chr1	14872648	14918862	 protein_coding	-	46214
ENSMUSG00000088159.1	 Gm26345	chr1	15019040	15019159	 snoRNA	-	119
ENSMUSG00000073737.3	 Gm10566	chr1	15268802	15269797	 processed_pseudogene	-	995
ENSMUSG00000092083.4	 Kcnb2	chr1	15287254	15723750	 protein_coding	+	436496
ENSMUSG00000102937.1	 Gm38116	chr1	15364302	15365834	 TEC	+	1532
ENSMUSG00000104149.1	 Gm37138	chr1	15556249	15558337	 TEC	+	2088
ENSMUSG00000088829.1	 Gm25227	chr1	15685935	15686046	 snoRNA	-	111
ENSMUSG00000077377.1	 Gm25168	chr1	15757832	15757963	 snoRNA	+	131
ENSMUSG00000101652.1	 Gm6060	chr1	15760122	15760668	 processed_pseudogene	-	546
ENSMUSG00000100814.1	 Gm28669	chr1	15760761	15760860	 processed_pseudogene	+	99
ENSMUSG00000025925.14	 Terf1	chr1	15805646	15844052	 protein_coding	+	38406
ENSMUSG00000104379.1	 Gm37509	chr1	15853331	15856499	 TEC	+	3168
ENSMUSG00000032719.4	 Sbspon	chr1	15853862	15892722	 protein_coding	-	38860
ENSMUSG00000088943.1	 Gm23259	chr1	15879530	15879832	 misc_RNA	+	302
ENSMUSG00000100652.1	 Gm7634	chr1	16053335	16053887	 processed_pseudogene	+	552
ENSMUSG00000067795.13	 4930444P10Rik	chr1	16065979	16093325	 protein_coding	-	27346
ENSMUSG00000043716.13	 Rpl7	chr1	16101295	16104662	 protein_coding	-	3367
ENSMUSG00000025921.7	 Rdh10	chr1	16105774	16133734	 protein_coding	+	27960
ENSMUSG00000104165.1	 Gm38249	chr1	16208197	16210517	 TEC	-	2320
ENSMUSG00000100868.1	 Gm28095	chr1	16228506	16244062	 lncRNA	+	15556
ENSMUSG00000025920.19	 Stau2	chr1	16228674	16520112	 protein_coding	-	291438
ENSMUSG00000089982.7	 Gm7568	chr1	16253592	16267921	 lncRNA	+	14329
ENSMUSG00000025939.18	 Ube2w	chr1	16540790	16619489	 protein_coding	-	78699
ENSMUSG00000102457.1	 Gm38342	chr1	16618560	16621539	 TEC	+	2979
ENSMUSG00000079658.9	 Eloc	chr1	16641725	16657042	 protein_coding	-	15317
ENSMUSG00000097744.1	 D030040B21Rik	chr1	16657552	16662278	 lncRNA	+	4726
ENSMUSG00000100959.1	 Gm7654	chr1	16662980	16663662	 processed_pseudogene	-	682
ENSMUSG00000025940.6	 Tmem70	chr1	16665207	16678275	 protein_coding	+	13068
ENSMUSG00000025779.10	 Ly96	chr1	16688051	16709611	 protein_coding	+	21560
ENSMUSG00000100093.1	 Gm29649	chr1	16758205	16758623	 processed_pseudogene	-	418
ENSMUSG00000091020.3	 Gm5828	chr1	16768279	16770138	 processed_pseudogene	-	1859
ENSMUSG00000101640.1	 Gm28376	chr1	16898185	17091631	 lncRNA	+	193446
ENSMUSG00000104133.1	 4921511E07Rik	chr1	16930970	16931796	 TEC	+	826
ENSMUSG00000042686.5	 Jph1	chr1	16964560	17097889	 protein_coding	-	133329
ENSMUSG00000100110.1	 Gm28783	chr1	17124747	17128956	 lncRNA	+	4209
ENSMUSG00000025777.8	 Gdap1	chr1	17145362	17164271	 protein_coding	+	18909
ENSMUSG00000099899.1	 Gm28784	chr1	17168403	17173103	 lncRNA	+	4700
ENSMUSG00000100272.1	 Gm28785	chr1	17250114	17250492	 processed_pseudogene	-	378
ENSMUSG00000100398.1	 Gm5251	chr1	17394958	17395429	 processed_pseudogene	+	471
ENSMUSG00000101589.1	 Rbm6-ps1	chr1	17397412	17400281	 processed_pseudogene	-	2869
ENSMUSG00000102048.1	 Gm6075	chr1	17429043	17429528	 processed_pseudogene	-	485
ENSMUSG00000089534.1	 Gm25166	chr1	17520001	17520111	 snoRNA	+	110
ENSMUSG00000067780.3	 Pi15	chr1	17601901	17630939	 protein_coding	+	29038
ENSMUSG00000100053.1	 Gm28154	chr1	17615084	17641081	 lncRNA	-	25997
ENSMUSG00000085125.7	 Gm16070	chr1	17676027	17727646	 lncRNA	-	51619
ENSMUSG00000025776.13	 Crispld1	chr1	17727045	17766344	 protein_coding	+	39299
ENSMUSG00000099895.1	 Gm28153	chr1	17741915	17805417	 lncRNA	-	63502
ENSMUSG00000100554.1	 Gm7690	chr1	17947041	17948439	 processed_pseudogene	+	1398
ENSMUSG00000099473.1	 Gm18775	chr1	17993010	17999622	 transcribed_unprocessed_pseudogene	-	6612
ENSMUSG00000099591.1	 Gm17969	chr1	17993813	17997483	 processed_pseudogene	+	3670
ENSMUSG00000109887.1	 Gm28756	chr1	17994462	18059056	 lncRNA	-	64594
ENSMUSG00000102001.1	 Gm28755	chr1	18005961	18016186	 unprocessed_pseudogene	-	10225
ENSMUSG00000101717.2	 Gm45784	chr1	18048100	18058269	 transcribed_unprocessed_pseudogene	-	10169
ENSMUSG00000025774.14	 Crisp4	chr1	18115191	18145902	 protein_coding	-	30711
ENSMUSG00000070977.4	 Defb44-ps	chr1	18210053	18223564	 unprocessed_pseudogene	-	13511
ENSMUSG00000073735.1	 Defb18	chr1	18236473	18237443	 protein_coding	-	970
ENSMUSG00000067773.6	 Defb41	chr1	18250980	18265138	 protein_coding	-	14158
ENSMUSG00000101685.1	 Gm17837	chr1	18262395	18263379	 processed_pseudogene	-	984
ENSMUSG00000101306.1	 Gm5252	chr1	18708428	18709336	 processed_pseudogene	+	908
ENSMUSG00000088800.1	 Gm24075	chr1	18969762	18969833	 snoRNA	-	71
ENSMUSG00000101644.1	 Gm28343	chr1	19037266	19037377	 processed_pseudogene	+	111
ENSMUSG00000099433.1	 Gm28344	chr1	19062857	19063135	 processed_pseudogene	+	278
ENSMUSG00000089787.2	 Gm15825	chr1	19063300	19104840	 lncRNA	-	41540
ENSMUSG00000042596.7	 Tfap2d	chr1	19103022	19166346	 protein_coding	+	63324
ENSMUSG00000100720.1	 Gm10075	chr1	19153422	19153966	 processed_pseudogene	-	544
ENSMUSG00000025927.13	 Tfap2b	chr1	19208914	19238576	 protein_coding	+	29662
ENSMUSG00000100538.1	 Gm28340	chr1	19242725	19243769	 lncRNA	+	1044
ENSMUSG00000101117.1	 Gm28341	chr1	19320226	19320697	 processed_pseudogene	-	471
ENSMUSG00000100204.1	 Gm4849	chr1	19330939	19333184	 processed_pseudogene	+	2245
ENSMUSG00000084668.1	 Gm24633	chr1	19513855	19513919	 snoRNA	-	64
ENSMUSG00000102597.1	 Gm38382	chr1	19614269	19616767	 TEC	+	2498
ENSMUSG00000043760.16	 Pkhd1	chr1	20057779	20618064	 protein_coding	-	560285
ENSMUSG00000104095.1	 Gm37315	chr1	20062070	20065548	 TEC	-	3478
ENSMUSG00000089914.2	 4930486I03Rik	chr1	20356452	20392300	 lncRNA	+	35848
ENSMUSG00000090142.2	 Gm15795	chr1	20444258	20444810	 processed_pseudogene	-	552
ENSMUSG00000070175.1	 Gm24162	chr1	20444811	20444912	 snRNA	-	101
ENSMUSG00000099906.2	 Gm28653	chr1	20669882	20684298	 lncRNA	+	14416
ENSMUSG00000065559.1	 Mir206	chr1	20679010	20679082	 miRNA	+	72
ENSMUSG00000065480.1	 Mir133b	chr1	20682769	20682887	 miRNA	+	118
ENSMUSG00000025929.4	 Il17a	chr1	20730905	20734496	 protein_coding	+	3591
ENSMUSG00000041872.9	 Il17f	chr1	20777146	20790617	 protein_coding	-	13471
ENSMUSG00000041859.10	 Mcm3	chr1	20802968	20820312	 protein_coding	-	17344
ENSMUSG00000099714.1	 Gm20587	chr1	20821331	20822516	 processed_pseudogene	+	1185
ENSMUSG00000102121.1	 Gm28065	chr1	20836661	20839689	 lncRNA	+	3028
ENSMUSG00000088858.1	 Gm24723	chr1	20842535	20842666	 snoRNA	-	131
ENSMUSG00000097934.1	 6720483E21Rik	chr1	20888650	20890473	 lncRNA	-	1823
ENSMUSG00000025931.15	 Paqr8	chr1	20890606	20939650	 protein_coding	+	49044
ENSMUSG00000077314.1	 Gm24171	chr1	20915410	20915540	 snoRNA	-	130
ENSMUSG00000100929.1	 Gm28064	chr1	20945711	20946914	 processed_pseudogene	+	1203
ENSMUSG00000041809.5	 Efhc1	chr1	20951626	20990841	 protein_coding	+	39215
ENSMUSG00000041779.5	 Tram2	chr1	20996299	21079229	 protein_coding	-	82930
ENSMUSG00000099971.1	 Gm28287	chr1	21080114	21081748	 lncRNA	+	1634
ENSMUSG00000100819.1	 Gm2693	chr1	21178988	21187427	 unprocessed_pseudogene	+	8439
ENSMUSG00000025933.15	 Tmem14a	chr1	21218575	21230167	 protein_coding	+	11592
ENSMUSG00000102633.1	 Gm38224	chr1	21234722	21236821	 TEC	+	2099
ENSMUSG00000025934.15	 Gsta3	chr1	21240589	21265661	 protein_coding	+	25072
ENSMUSG00000099343.1	 Gm28836	chr1	21250359	21271593	 lncRNA	-	21234
ENSMUSG00000096375.2	 Gm7094	chr1	21272403	21272906	 unprocessed_pseudogene	+	503
ENSMUSG00000025936.15	 Gm4956	chr1	21285246	21298312	 transcribed_unprocessed_pseudogene	-	13066
ENSMUSG00000093963.1	 Gm21909	chr1	21312517	21316320	 unprocessed_pseudogene	-	3803
ENSMUSG00000067750.3	 Khdc1a	chr1	21349641	21352200	 protein_coding	+	2559
ENSMUSG00000086194.1	 Gm16329	chr1	21354005	21355116	 unprocessed_pseudogene	+	1111
ENSMUSG00000094436.1	 Gm16327	chr1	21364803	21365030	 processed_pseudogene	+	227
ENSMUSG00000041722.7	 Khdc1c	chr1	21368331	21370845	 protein_coding	+	2514
ENSMUSG00000085507.1	 Gm2709	chr1	21372670	21373764	 unprocessed_pseudogene	+	1094
ENSMUSG00000094926.1	 Gm16533	chr1	21379555	21379782	 processed_pseudogene	+	227
ENSMUSG00000085079.3	 Khdc1b	chr1	21383556	21386373	 protein_coding	+	2817
ENSMUSG00000085679.2	 Gm16328	chr1	21390906	21391101	 processed_pseudogene	+	195
ENSMUSG00000028033.16	 Kcnq5	chr1	21398403	21961942	 protein_coding	-	563539
ENSMUSG00000104138.1	 Gm36949	chr1	21454691	21457017	 TEC	-	2326
ENSMUSG00000082935.3	 Gm7658	chr1	21511933	21513056	 processed_pseudogene	-	1123
ENSMUSG00000103748.1	 Gm38243	chr1	21838948	21840514	 TEC	-	1566
ENSMUSG00000097109.1	 Gm26580	chr1	21959842	21962530	 lncRNA	+	2688
ENSMUSG00000099692.1	 Gm5696	chr1	22030064	22030615	 processed_pseudogene	-	551
ENSMUSG00000100418.1	 Gm28239	chr1	22237849	22238295	 processed_pseudogene	+	446
ENSMUSG00000041670.16	 Rims1	chr1	22286251	22805994	 protein_coding	-	519743
ENSMUSG00000097642.1	 Gm26866	chr1	22740764	22741565	 processed_pseudogene	+	801
ENSMUSG00000101468.1	 Gm7761	chr1	22984863	22987125	 processed_pseudogene	-	2262
ENSMUSG00000101227.1	 Gm29506	chr1	23048295	23235673	 lncRNA	-	187378
ENSMUSG00000073730.2	 4933415F23Rik	chr1	23100473	23102253	 protein_coding	-	1780
