"GeneSymbol","Class","GeneSymbolClass"
"Gm26983","processed_pseudogene","Gm26983_processed_pseudogene"
"Gm38372","TEC","Gm38372_TEC"
"Gm9826","processed_pseudogene","Gm9826_processed_pseudogene"
"Nras-ps2","processed_pseudogene","Nras-ps2_processed_pseudogene"
"Gm23274","snoRNA","Gm23274_snoRNA"
"Gm19002","processed_pseudogene","Gm19002_processed_pseudogene"
"Gm26901","lncRNA","Gm26901_lncRNA"
"Gm18984","processed_pseudogene","Gm18984_processed_pseudogene"
"Gm30414","lncRNA","Gm30414_lncRNA"
"Gm37791","processed_pseudogene","Gm37791_processed_pseudogene"
"Gm7470","processed_pseudogene","Gm7470_processed_pseudogene"
"Rps2-ps2","processed_pseudogene","Rps2-ps2_processed_pseudogene"
"Gm38216","processed_pseudogene","Gm38216_processed_pseudogene"
"Sntg1","protein_coding","Sntg1_protein_coding"
"Gm38024","TEC","Gm38024_TEC"
"Gm16284","processed_pseudogene","Gm16284_processed_pseudogene"
"Gm38259","TEC","Gm38259_TEC"
"Gm23358","miRNA","Gm23358_miRNA"
"Gm37005","TEC","Gm37005_TEC"
"Gm15452","processed_pseudogene","Gm15452_processed_pseudogene"
"Gm36964","processed_pseudogene","Gm36964_processed_pseudogene"
"Gm24276","miRNA","Gm24276_miRNA"
"Gm6152","processed_pseudogene","Gm6152_processed_pseudogene"
"Gm7445","processed_pseudogene","Gm7445_processed_pseudogene"
"Gm7493","processed_pseudogene","Gm7493_processed_pseudogene"
"Gm37629","TEC","Gm37629_TEC"
"Gm38008","processed_pseudogene","Gm38008_processed_pseudogene"
"Gm37143","TEC","Gm37143_TEC"
"Gm6187","processed_pseudogene","Gm6187_processed_pseudogene"
"Gm18299","processed_pseudogene","Gm18299_processed_pseudogene"
"Gm7512","processed_pseudogene","Gm7512_processed_pseudogene"
"Gm24765","snRNA","Gm24765_snRNA"
"Gm18300","processed_pseudogene","Gm18300_processed_pseudogene"
"Rrs1","protein_coding","Rrs1_protein_coding"
"Adhfe1","protein_coding","Adhfe1_protein_coding"
"2610203C22Rik","lncRNA","2610203C22Rik_lncRNA"
"Gm6161","processed_pseudogene","Gm6161_processed_pseudogene"
"Vxn","protein_coding","Vxn_protein_coding"
"Gm29520","lncRNA","Gm29520_lncRNA"
"Mybl1","protein_coding","Mybl1_protein_coding"
"Vcpip1","protein_coding","Vcpip1_protein_coding"
"1700034P13Rik","lncRNA","1700034P13Rik_lncRNA"
"Sgk3","protein_coding","Sgk3_protein_coding"
"Gm6195","processed_pseudogene","Gm6195_processed_pseudogene"
"Gm22607","snRNA","Gm22607_snRNA"
"Mcmdc2","protein_coding","Mcmdc2_protein_coding"
"Snhg6","lncRNA","Snhg6_lncRNA"
"Snord87","snoRNA","Snord87_snoRNA"
"Tcf24","protein_coding","Tcf24_protein_coding"
"E330040D14Rik","TEC","E330040D14Rik_TEC"
"Ppp1r42","protein_coding","Ppp1r42_protein_coding"
"Gm15818","lncRNA","Gm15818_lncRNA"
"Gm24674","snRNA","Gm24674_snRNA"
"Cops5","protein_coding","Cops5_protein_coding"
"Cspp1","protein_coding","Cspp1_protein_coding"
"1700047N06Rik","TEC","1700047N06Rik_TEC"
"Arfgef1","protein_coding","Arfgef1_protein_coding"
"Gm26348","misc_RNA","Gm26348_misc_RNA"
"Gm37569","TEC","Gm37569_TEC"
"Cpa6","protein_coding","Cpa6_protein_coding"
"Gm38005","TEC","Gm38005_TEC"
"Gm15604","processed_pseudogene","Gm15604_processed_pseudogene"
"Gm25253","snRNA","Gm25253_snRNA"
"Gm15603","processed_pseudogene","Gm15603_processed_pseudogene"
"Gm37133","TEC","Gm37133_TEC"
"Gm5522","processed_pseudogene","Gm5522_processed_pseudogene"
"Gm28659","processed_pseudogene","Gm28659_processed_pseudogene"
"Gm22963","snoRNA","Gm22963_snoRNA"
"Prex2","protein_coding","Prex2_protein_coding"
"Gm24173","snoRNA","Gm24173_snoRNA"
"Gm28686","processed_pseudogene","Gm28686_processed_pseudogene"
"Gm37410","TEC","Gm37410_TEC"
"A830018L16Rik","protein_coding","A830018L16Rik_protein_coding"
"Gm38178","TEC","Gm38178_TEC"
"Gm29273","processed_pseudogene","Gm29273_processed_pseudogene"
"Gm38069","TEC","Gm38069_TEC"
"Gm7560","processed_pseudogene","Gm7560_processed_pseudogene"
"Gm22633","snRNA","Gm22633_snRNA"
"Mir6341","miRNA","Mir6341_miRNA"
"Gm2383","processed_pseudogene","Gm2383_processed_pseudogene"
"Gm6216","processed_pseudogene","Gm6216_processed_pseudogene"
"Gm17644","lncRNA","Gm17644_lncRNA"
"Gm29663","lncRNA","Gm29663_lncRNA"
"Sulf1","protein_coding","Sulf1_protein_coding"
"Slco5a1","protein_coding","Slco5a1_protein_coding"
"Gm37162","TEC","Gm37162_TEC"
"Gm5250","processed_pseudogene","Gm5250_processed_pseudogene"
"Gm29283","lncRNA","Gm29283_lncRNA"
"Prdm14","protein_coding","Prdm14_protein_coding"
"Ncoa2","protein_coding","Ncoa2_protein_coding"
"Gm38376","TEC","Gm38376_TEC"
"Gm37409","TEC","Gm37409_TEC"
"Gm27881","miRNA","Gm27881_miRNA"
"Gm38223","TEC","Gm38223_TEC"
"Gm37702","TEC","Gm37702_TEC"
"Gm23169","snRNA","Gm23169_snRNA"
"Gm38120","TEC","Gm38120_TEC"
"Gm38380","TEC","Gm38380_TEC"
"Gm29570","lncRNA","Gm29570_lncRNA"
"Gm7593","processed_pseudogene","Gm7593_processed_pseudogene"
"Tram1","protein_coding","Tram1_protein_coding"
"Lactb2","protein_coding","Lactb2_protein_coding"
"Gm38319","TEC","Gm38319_TEC"
"Xkr9","protein_coding","Xkr9_protein_coding"
"Gm26273","snoRNA","Gm26273_snoRNA"
"Gm5523","processed_pseudogene","Gm5523_processed_pseudogene"
"Gm36947","TEC","Gm36947_TEC"
"Gm25491","misc_RNA","Gm25491_misc_RNA"
"Gm37400","TEC","Gm37400_TEC"
"Eya1","protein_coding","Eya1_protein_coding"
"Gm22616","miRNA","Gm22616_miRNA"
"Gm37444","TEC","Gm37444_TEC"
"Gm9947","lncRNA","Gm9947_lncRNA"
"Msc","protein_coding","Msc_protein_coding"
"Gm37412","TEC","Gm37412_TEC"
"Smt3h2-ps4","processed_pseudogene","Smt3h2-ps4_processed_pseudogene"
"Rpl5-ps1","processed_pseudogene","Rpl5-ps1_processed_pseudogene"
"Trpa1","protein_coding","Trpa1_protein_coding"
"Gm26345","snoRNA","Gm26345_snoRNA"
"Gm10566","processed_pseudogene","Gm10566_processed_pseudogene"
"Kcnb2","protein_coding","Kcnb2_protein_coding"
"Gm38116","TEC","Gm38116_TEC"
"Gm37138","TEC","Gm37138_TEC"
"Gm25227","snoRNA","Gm25227_snoRNA"
"Gm25168","snoRNA","Gm25168_snoRNA"
"Gm6060","processed_pseudogene","Gm6060_processed_pseudogene"
"Gm28669","processed_pseudogene","Gm28669_processed_pseudogene"
"Terf1","protein_coding","Terf1_protein_coding"
"Gm37509","TEC","Gm37509_TEC"
"Sbspon","protein_coding","Sbspon_protein_coding"
"Gm23259","misc_RNA","Gm23259_misc_RNA"
"Gm7634","processed_pseudogene","Gm7634_processed_pseudogene"
"4930444P10Rik","protein_coding","4930444P10Rik_protein_coding"
"Rpl7","protein_coding","Rpl7_protein_coding"
"Rdh10","protein_coding","Rdh10_protein_coding"
"Gm38249","TEC","Gm38249_TEC"
"Gm28095","lncRNA","Gm28095_lncRNA"
"Stau2","protein_coding","Stau2_protein_coding"
"Gm7568","lncRNA","Gm7568_lncRNA"
"Ube2w","protein_coding","Ube2w_protein_coding"
"Gm38342","TEC","Gm38342_TEC"
"Eloc","protein_coding","Eloc_protein_coding"
"D030040B21Rik","lncRNA","D030040B21Rik_lncRNA"
"Gm7654","processed_pseudogene","Gm7654_processed_pseudogene"
"Tmem70","protein_coding","Tmem70_protein_coding"
"Ly96","protein_coding","Ly96_protein_coding"
"Gm29649","processed_pseudogene","Gm29649_processed_pseudogene"
"Gm5828","processed_pseudogene","Gm5828_processed_pseudogene"
"Gm28376","lncRNA","Gm28376_lncRNA"
"4921511E07Rik","TEC","4921511E07Rik_TEC"
"Jph1","protein_coding","Jph1_protein_coding"
"Gm28783","lncRNA","Gm28783_lncRNA"
"Gdap1","protein_coding","Gdap1_protein_coding"
"Gm28784","lncRNA","Gm28784_lncRNA"
"Gm28785","processed_pseudogene","Gm28785_processed_pseudogene"
"Gm5251","processed_pseudogene","Gm5251_processed_pseudogene"
"Rbm6-ps1","processed_pseudogene","Rbm6-ps1_processed_pseudogene"
"Gm6075","processed_pseudogene","Gm6075_processed_pseudogene"
"Gm25166","snoRNA","Gm25166_snoRNA"
"Pi15","protein_coding","Pi15_protein_coding"
"Gm28154","lncRNA","Gm28154_lncRNA"
"Gm16070","lncRNA","Gm16070_lncRNA"
"Crispld1","protein_coding","Crispld1_protein_coding"
"Gm28153","lncRNA","Gm28153_lncRNA"
"Gm7690","processed_pseudogene","Gm7690_processed_pseudogene"
"Gm18775","transcribed_unprocessed_pseudogene","Gm18775_transcribed_unprocessed_pseudogene"
"Gm17969","processed_pseudogene","Gm17969_processed_pseudogene"
"Gm28756","lncRNA","Gm28756_lncRNA"
"Gm28755","unprocessed_pseudogene","Gm28755_unprocessed_pseudogene"
"Gm45784","transcribed_unprocessed_pseudogene","Gm45784_transcribed_unprocessed_pseudogene"
"Crisp4","protein_coding","Crisp4_protein_coding"
"Defb44-ps","unprocessed_pseudogene","Defb44-ps_unprocessed_pseudogene"
"Defb18","protein_coding","Defb18_protein_coding"
"Defb41","protein_coding","Defb41_protein_coding"
"Gm17837","processed_pseudogene","Gm17837_processed_pseudogene"
"Gm5252","processed_pseudogene","Gm5252_processed_pseudogene"
"Gm24075","snoRNA","Gm24075_snoRNA"
"Gm28343","processed_pseudogene","Gm28343_processed_pseudogene"
"Gm28344","processed_pseudogene","Gm28344_processed_pseudogene"
"Gm15825","lncRNA","Gm15825_lncRNA"
"Tfap2d","protein_coding","Tfap2d_protein_coding"
"Gm10075","processed_pseudogene","Gm10075_processed_pseudogene"
"Tfap2b","protein_coding","Tfap2b_protein_coding"
"Gm28340","lncRNA","Gm28340_lncRNA"
"Gm28341","processed_pseudogene","Gm28341_processed_pseudogene"
"Gm4849","processed_pseudogene","Gm4849_processed_pseudogene"
"Gm24633","snoRNA","Gm24633_snoRNA"
"Gm38382","TEC","Gm38382_TEC"
"Pkhd1","protein_coding","Pkhd1_protein_coding"
"Gm37315","TEC","Gm37315_TEC"
"4930486I03Rik","lncRNA","4930486I03Rik_lncRNA"
"Gm15795","processed_pseudogene","Gm15795_processed_pseudogene"
"Gm24162","snRNA","Gm24162_snRNA"
"Gm28653","lncRNA","Gm28653_lncRNA"
"Mir206","miRNA","Mir206_miRNA"
"Mir133b","miRNA","Mir133b_miRNA"
"Il17a","protein_coding","Il17a_protein_coding"
"Il17f","protein_coding","Il17f_protein_coding"
"Mcm3","protein_coding","Mcm3_protein_coding"
"Gm20587","processed_pseudogene","Gm20587_processed_pseudogene"
"Gm28065","lncRNA","Gm28065_lncRNA"
"Gm24723","snoRNA","Gm24723_snoRNA"
"6720483E21Rik","lncRNA","6720483E21Rik_lncRNA"
"Paqr8","protein_coding","Paqr8_protein_coding"
"Gm24171","snoRNA","Gm24171_snoRNA"
"Gm28064","processed_pseudogene","Gm28064_processed_pseudogene"
"Efhc1","protein_coding","Efhc1_protein_coding"
"Tram2","protein_coding","Tram2_protein_coding"
"Gm28287","lncRNA","Gm28287_lncRNA"
"Gm2693","unprocessed_pseudogene","Gm2693_unprocessed_pseudogene"
"Tmem14a","protein_coding","Tmem14a_protein_coding"
"Gm38224","TEC","Gm38224_TEC"
"Gsta3","protein_coding","Gsta3_protein_coding"
"Gm28836","lncRNA","Gm28836_lncRNA"
"Gm7094","unprocessed_pseudogene","Gm7094_unprocessed_pseudogene"
"Gm4956","transcribed_unprocessed_pseudogene","Gm4956_transcribed_unprocessed_pseudogene"
"Gm21909","unprocessed_pseudogene","Gm21909_unprocessed_pseudogene"
"Khdc1a","protein_coding","Khdc1a_protein_coding"
"Gm16329","unprocessed_pseudogene","Gm16329_unprocessed_pseudogene"
"Gm16327","processed_pseudogene","Gm16327_processed_pseudogene"
"Khdc1c","protein_coding","Khdc1c_protein_coding"
"Gm2709","unprocessed_pseudogene","Gm2709_unprocessed_pseudogene"
"Gm16533","processed_pseudogene","Gm16533_processed_pseudogene"
"Khdc1b","protein_coding","Khdc1b_protein_coding"
"Gm16328","processed_pseudogene","Gm16328_processed_pseudogene"
"Kcnq5","protein_coding","Kcnq5_protein_coding"
"Gm36949","TEC","Gm36949_TEC"
"Gm7658","processed_pseudogene","Gm7658_processed_pseudogene"
"Gm38243","TEC","Gm38243_TEC"
"Gm26580","lncRNA","Gm26580_lncRNA"
"Gm5696","processed_pseudogene","Gm5696_processed_pseudogene"
"Gm28239","processed_pseudogene","Gm28239_processed_pseudogene"
"Rims1","protein_coding","Rims1_protein_coding"
"Gm26866","processed_pseudogene","Gm26866_processed_pseudogene"
"Gm7761","processed_pseudogene","Gm7761_processed_pseudogene"
"Gm29506","lncRNA","Gm29506_lncRNA"
"4933415F23Rik","protein_coding","4933415F23Rik_protein_coding"
"Gm24176","snoRNA","Gm24176_snoRNA"
"Gm6420","TEC","Gm6420_TEC"
"Mir30a","miRNA","Mir30a_miRNA"
"Gm27028","lncRNA","Gm27028_lncRNA"
"Mir30c-2","miRNA","Mir30c-2_miRNA"
"Gm29107","lncRNA","Gm29107_lncRNA"
"Gm20954","processed_pseudogene","Gm20954_processed_pseudogene"
"Ogfrl1","protein_coding","Ogfrl1_protein_coding"
"Gm7784","processed_pseudogene","Gm7784_processed_pseudogene"
"Gm28822","lncRNA","Gm28822_lncRNA"
"B3gat2","protein_coding","B3gat2_protein_coding"
"Smap1","protein_coding","Smap1_protein_coding"
"Sdhaf4","protein_coding","Sdhaf4_protein_coding"
"Gm26524","TEC","Gm26524_TEC"
"Fam135a","protein_coding","Fam135a_protein_coding"
"Gm37580","TEC","Gm37580_TEC"
"Gm26607","processed_pseudogene","Gm26607_processed_pseudogene"
"Col9a1","protein_coding","Col9a1_protein_coding"
"Col19a1","protein_coding","Col19a1_protein_coding"
"Gm26418","snoRNA","Gm26418_snoRNA"
"Tubb4b-ps2","processed_pseudogene","Tubb4b-ps2_processed_pseudogene"
"Gm28439","unprocessed_pseudogene","Gm28439_unprocessed_pseudogene"
"Gm10222","unprocessed_pseudogene","Gm10222_unprocessed_pseudogene"
"Gm28438","unprocessed_pseudogene","Gm28438_unprocessed_pseudogene"
"Gm28437","unprocessed_pseudogene","Gm28437_unprocessed_pseudogene"
"Gm10925","unprocessed_pseudogene","Gm10925_unprocessed_pseudogene"
"Gm28661","unprocessed_pseudogene","Gm28661_unprocessed_pseudogene"
"Gm29216","unprocessed_pseudogene","Gm29216_unprocessed_pseudogene"
"Lmbrd1","protein_coding","Lmbrd1_protein_coding"
"Gm28594","processed_pseudogene","Gm28594_processed_pseudogene"
"Gm28237","lncRNA","Gm28237_lncRNA"
"Gm9443","processed_pseudogene","Gm9443_processed_pseudogene"
"Gm29414","lncRNA","Gm29414_lncRNA"
"Adgrb3","protein_coding","Adgrb3_protein_coding"
"Gm15702","processed_pseudogene","Gm15702_processed_pseudogene"
"Gm20172","TEC","Gm20172_TEC"
"Gm22260","snRNA","Gm22260_snRNA"
"Gm37543","TEC","Gm37543_TEC"
"Gm37331","TEC","Gm37331_TEC"
"Gm37211","TEC","Gm37211_TEC"
"Gm37862","TEC","Gm37862_TEC"
"Gm38286","TEC","Gm38286_TEC"
"Gm37880","TEC","Gm37880_TEC"
"Gm25294","snRNA","Gm25294_snRNA"
"Gm37011","TEC","Gm37011_TEC"
"Gm29214","processed_pseudogene","Gm29214_processed_pseudogene"
"Gm37051","TEC","Gm37051_TEC"
"Gm38260","TEC","Gm38260_TEC"
"Gm37628","TEC","Gm37628_TEC"
"8030445P17Rik","TEC","8030445P17Rik_TEC"
"Gm38198","TEC","Gm38198_TEC"
"Gm37077","TEC","Gm37077_TEC"
"Gm37895","TEC","Gm37895_TEC"
"Gm36952","TEC","Gm36952_TEC"
"Gm37602","TEC","Gm37602_TEC"
"2900022M07Rik","TEC","2900022M07Rik_TEC"
"2900002M20Rik","TEC","2900002M20Rik_TEC"
"Gm9884","TEC","Gm9884_TEC"
"Gm18443","processed_pseudogene","Gm18443_processed_pseudogene"
"Gm19123","processed_pseudogene","Gm19123_processed_pseudogene"
"Gm24064","snoRNA","Gm24064_snoRNA"
"4931408C20Rik","protein_coding","4931408C20Rik_protein_coding"
"n-R5s209","rRNA","n-R5s209_rRNA"
"Gm19641","processed_pseudogene","Gm19641_processed_pseudogene"
"Gm5524","lncRNA","Gm5524_lncRNA"
"Gm18776","processed_pseudogene","Gm18776_processed_pseudogene"
"Gm19028","processed_pseudogene","Gm19028_processed_pseudogene"
"Gm38089","TEC","Gm38089_TEC"
"Gm7846","processed_pseudogene","Gm7846_processed_pseudogene"
"Gm597","protein_coding","Gm597_protein_coding"
"Gm5697","processed_pseudogene","Gm5697_processed_pseudogene"
"Gm6462","processed_pseudogene","Gm6462_processed_pseudogene"
"Gm18033","processed_pseudogene","Gm18033_processed_pseudogene"
"Gm25586","misc_RNA","Gm25586_misc_RNA"
"Gm22679","miRNA","Gm22679_miRNA"
"Gm23785","miRNA","Gm23785_miRNA"
"Mir6342","miRNA","Mir6342_miRNA"
"Gm5525","processed_pseudogene","Gm5525_processed_pseudogene"
"Gm7858","processed_pseudogene","Gm7858_processed_pseudogene"
"Gm23771","miRNA","Gm23771_miRNA"
"Gm27430","miRNA","Gm27430_miRNA"
"Gm9898","lncRNA","Gm9898_lncRNA"
"Gm6473","unprocessed_pseudogene","Gm6473_unprocessed_pseudogene"
"Gm2914","processed_pseudogene","Gm2914_processed_pseudogene"
"Phf3","protein_coding","Phf3_protein_coding"
"Gm37522","TEC","Gm37522_TEC"
"Gm37906","TEC","Gm37906_TEC"
"Ptp4a1","protein_coding","Ptp4a1_protein_coding"
"Gm5698","protein_coding","Gm5698_protein_coding"
"Gm9458","processed_pseudogene","Gm9458_processed_pseudogene"
"4931428L18Rik","protein_coding","4931428L18Rik_protein_coding"
"Gm28644","lncRNA","Gm28644_lncRNA"
"Gm27362","rRNA","Gm27362_rRNA"
"Gm29128","lncRNA","Gm29128_lncRNA"
"Gm7893","processed_pseudogene","Gm7893_processed_pseudogene"
"Lgsn","protein_coding","Lgsn_protein_coding"
"Pih1d3","protein_coding","Pih1d3_protein_coding"
"Gm26145","snoRNA","Gm26145_snoRNA"
"Gm4850","processed_pseudogene","Gm4850_processed_pseudogene"
"Gm28645","processed_pseudogene","Gm28645_processed_pseudogene"
"Gm6489","processed_pseudogene","Gm6489_processed_pseudogene"
"Gm10307","processed_pseudogene","Gm10307_processed_pseudogene"
"Gm19680","processed_pseudogene","Gm19680_processed_pseudogene"
"Gm23032","snRNA","Gm23032_snRNA"
"Gm7910","processed_pseudogene","Gm7910_processed_pseudogene"
"Khdrbs2","protein_coding","Khdrbs2_protein_coding"
"Gm25814","snRNA","Gm25814_snRNA"
"Gm37999","TEC","Gm37999_TEC"
"Gm37110","TEC","Gm37110_TEC"
"Gm37911","TEC","Gm37911_TEC"
"Gm9839","TEC","Gm9839_TEC"
"Gm37792","TEC","Gm37792_TEC"
"Gm5415","protein_coding","Gm5415_protein_coding"
"Gm24732","snRNA","Gm24732_snRNA"
"Gm37426","TEC","Gm37426_TEC"
"Gm23024","misc_RNA","Gm23024_misc_RNA"
"Gm37151","TEC","Gm37151_TEC"
"Gm28624","processed_pseudogene","Gm28624_processed_pseudogene"
"Gm37724","lncRNA","Gm37724_lncRNA"
"Gm7114","processed_pseudogene","Gm7114_processed_pseudogene"
"Gm4785","processed_pseudogene","Gm4785_processed_pseudogene"
"Gm24901","snRNA","Gm24901_snRNA"
"Gm37591","lncRNA","Gm37591_lncRNA"
"Gm2987","processed_pseudogene","Gm2987_processed_pseudogene"
"Gm25792","snRNA","Gm25792_snRNA"
"Gm18799","processed_pseudogene","Gm18799_processed_pseudogene"
"Gm7933","processed_pseudogene","Gm7933_processed_pseudogene"
"Gm23453","snRNA","Gm23453_snRNA"
"Prim2","protein_coding","Prim2_protein_coding"
"Gm29228","processed_pseudogene","Gm29228_processed_pseudogene"
"Gm37618","TEC","Gm37618_TEC"
"Gm17813","processed_pseudogene","Gm17813_processed_pseudogene"
"1700001G17Rik","TEC","1700001G17Rik_TEC"
"Gm38173","TEC","Gm38173_TEC"
"Rab23","protein_coding","Rab23_protein_coding"
"Bag2","protein_coding","Bag2_protein_coding"
"Gm37905","TEC","Gm37905_TEC"
"Zfp451","protein_coding","Zfp451_protein_coding"
"Gm15455","processed_pseudogene","Gm15455_processed_pseudogene"
"Bend6","protein_coding","Bend6_protein_coding"
"Gm37067","TEC","Gm37067_TEC"
"Dst","protein_coding","Dst_protein_coding"
"Gm37354","TEC","Gm37354_TEC"
"Gm28631","processed_pseudogene","Gm28631_processed_pseudogene"
"Gm23792","snRNA","Gm23792_snRNA"
"Gm38157","TEC","Gm38157_TEC"
"Mir6896","miRNA","Mir6896_miRNA"
"Gm26788","lncRNA","Gm26788_lncRNA"
"A930005N03Rik","TEC","A930005N03Rik_TEC"
"Gm37958","lncRNA","Gm37958_lncRNA"
"Gm37385","TEC","Gm37385_TEC"
"Gm5266","processed_pseudogene","Gm5266_processed_pseudogene"
"Gm3052","transcribed_processed_pseudogene","Gm3052_transcribed_processed_pseudogene"
"Gm37233","lncRNA","Gm37233_lncRNA"
"Mir5103","miRNA","Mir5103_miRNA"
"Ccdc115","protein_coding","Ccdc115_protein_coding"
"Gm28306","lncRNA","Gm28306_lncRNA"
"Imp4","protein_coding","Imp4_protein_coding"
"Ptpn18","protein_coding","Ptpn18_protein_coding"
"Gm28417","lncRNA","Gm28417_lncRNA"
"4930568A12Rik","lncRNA","4930568A12Rik_lncRNA"
"Prss39","protein_coding","Prss39_protein_coding"
"Gm28416","processed_pseudogene","Gm28416_processed_pseudogene"
"Cfc1","protein_coding","Cfc1_protein_coding"
"Gm28419","processed_pseudogene","Gm28419_processed_pseudogene"
"Prss40","protein_coding","Prss40_protein_coding"
"1700101I19Rik","lncRNA","1700101I19Rik_lncRNA"
"Amer3","protein_coding","Amer3_protein_coding"
"Gm28418","processed_pseudogene","Gm28418_processed_pseudogene"
"Gm36984","processed_pseudogene","Gm36984_processed_pseudogene"
"Gm29730","processed_pseudogene","Gm29730_processed_pseudogene"
"AA619741","processed_pseudogene","AA619741_processed_pseudogene"
"Arhgef4","protein_coding","Arhgef4_protein_coding"
"Gm37224","processed_pseudogene","Gm37224_processed_pseudogene"
"Gm37845","processed_pseudogene","Gm37845_processed_pseudogene"
"Gm38336","lncRNA","Gm38336_lncRNA"
"Fam168b","protein_coding","Fam168b_protein_coding"
"Gm37127","TEC","Gm37127_TEC"
"Plekhb2","protein_coding","Plekhb2_protein_coding"
"Gm19430","processed_pseudogene","Gm19430_processed_pseudogene"
"Gm37670","processed_pseudogene","Gm37670_processed_pseudogene"
"Gm8009","processed_pseudogene","Gm8009_processed_pseudogene"
"Gm38027","processed_pseudogene","Gm38027_processed_pseudogene"
"Gm25096","snoRNA","Gm25096_snoRNA"
"Gm37068","lncRNA","Gm37068_lncRNA"
"Gm25634","snRNA","Gm25634_snRNA"
"Gm28415","lncRNA","Gm28415_lncRNA"
"1110002O04Rik","lncRNA","1110002O04Rik_lncRNA"
"Gm8022","processed_pseudogene","Gm8022_processed_pseudogene"
"Gm37146","lncRNA","Gm37146_lncRNA"
"Gm33222","lncRNA","Gm33222_lncRNA"
"4930535G08Rik","lncRNA","4930535G08Rik_lncRNA"
"Gm38049","TEC","Gm38049_TEC"
"Hs6st1","protein_coding","Hs6st1_protein_coding"
"Gm37335","lncRNA","Gm37335_lncRNA"
"Gm33280","lncRNA","Gm33280_lncRNA"
"Uggt1","protein_coding","Uggt1_protein_coding"
"Mir6897","miRNA","Mir6897_miRNA"
